,Hey Duggee’s Big Adventure Badge,The Furchester Hotel,Big Fun Showtime,CBeebies Land Photo Studio,Andy’s Adventures Dinosaur Dig,Battle Galleons,Bluey the Ride: Here Come The Grannies!,Bugbie-Go-Round,Congo River Rapids,Cuckoo Cars Driving School,Gangsta Granny: The Ride,Get Set Go Tree Top Adventure,Go Jetters Vroomster Zoom Ride,Haunted Hollow,Heave Ho,Hex - The Legend of the Towers,In The Night Garden Magical Boat Ride,JoJo & Gran Gran At Home,Justin's House Pie-O-Matic Factory,Marauder's Mayhem,Octonauts Rollercoaster Adventure,Peter Rabbit Hippity Hop,Raj’s Bouncy Bottom Burp,Runaway Mine Train,Sharkbait Reef by SEA LIFE,The Gardens,The Royal Carousel,Galactica,Nemesis Reborn,Nemesis Sub-Terra,Oblivion,Rita,Spinball Whizzer,TH13TEEN,The Smiler,Toxicator,Wicker Man
Hey Duggee’s Big Adventure Badge,0.0,1.17,11.99,8.41,14.42,14.42,14.42,14.42,14.42,14.42,16.85,14.42,14.42,14.42,16.85,16.85,14.42,14.42,16.85,16.85,14.42,14.42,11.99,16.85,11.99,14.42,14.42,14.42,15.06,14.27,14.79,15.38,19.28,19.28,14.66,14.42,16.85
The Furchester Hotel,1.17,0.0,11.99,8.41,14.42,14.42,14.42,14.42,14.42,14.42,16.85,14.42,14.42,14.42,16.85,16.85,14.42,14.42,16.85,16.85,14.42,14.42,11.99,16.85,11.99,14.42,14.42,14.42,15.06,14.27,14.79,15.38,19.28,19.28,14.66,14.42,16.85
Big Fun Showtime,11.99,11.99,0.0,13.26,2.43,2.43,4.86,4.86,4.86,2.43,7.29,4.86,2.43,4.86,7.29,7.29,2.43,2.43,4.86,7.29,2.43,4.86,2.43,7.29,2.43,2.43,4.86,4.86,5.5,4.79,6.35,5.82,9.72,9.72,5.18,2.43,7.29
CBeebies Land Photo Studio,8.41,8.41,13.26,0.0,15.69,15.69,15.69,15.69,15.69,15.69,18.12,15.69,15.69,15.69,18.12,18.12,15.69,15.69,18.12,18.12,15.69,15.69,13.26,18.12,13.26,15.69,15.69,15.69,16.33,15.54,16.06,16.65,20.55,20.55,15.93,15.69,18.12
Andy’s Adventures Dinosaur Dig,14.42,14.42,2.43,15.69,0.0,4.86,4.86,4.86,4.86,2.43,7.29,4.86,4.86,4.86,7.29,7.29,4.86,4.86,7.29,7.29,4.86,4.86,4.86,7.29,4.86,4.86,4.86,4.86,5.5,4.79,6.35,5.82,9.72,9.72,5.18,2.43,7.29
Battle Galleons,14.42,14.42,2.43,15.69,4.86,0.0,2.43,4.86,4.86,4.86,4.86,4.86,2.43,2.43,4.86,4.86,4.86,4.86,2.43,7.29,4.86,2.43,4.86,4.86,4.86,4.86,4.86,4.86,5.5,4.79,6.35,5.82,7.29,7.29,5.18,4.86,7.29
Bluey the Ride: Here Come The Grannies!,14.42,14.42,4.86,15.69,4.86,2.43,0.0,2.43,2.43,7.29,2.43,4.86,4.86,4.86,2.43,2.43,4.86,7.29,4.86,4.86,4.86,4.86,7.29,2.43,7.29,7.29,4.86,4.86,5.5,4.79,6.35,5.82,4.86,4.86,5.18,7.29,4.86
Bugbie-Go-Round,14.42,14.42,4.86,15.69,4.86,4.86,2.43,0.0,4.86,7.29,2.43,2.43,7.29,4.86,4.86,4.86,4.86,7.29,7.29,2.43,4.86,4.86,7.29,4.86,7.29,7.29,4.86,4.86,5.5,4.79,6.35,5.82,4.86,4.86,5.18,7.29,7.29
Congo River Rapids,14.42,14.42,4.86,15.69,4.86,4.86,2.43,4.86,0.0,7.29,4.86,4.86,7.29,4.86,4.86,2.43,4.86,7.29,7.29,7.29,4.86,4.86,7.29,4.86,7.29,7.29,2.43,2.43,5.5,4.79,6.35,5.82,7.29,7.29,5.18,7.29,2.43
Cuckoo Cars Driving School,14.42,14.42,2.43,15.69,2.43,4.86,7.29,7.29,7.29,0.0,9.72,7.29,4.86,7.29,9.72,9.72,4.86,2.43,7.29,9.72,4.86,7.29,4.86,9.72,4.86,4.86,7.29,7.29,7.93,7.22,8.78,8.25,12.15,12.15,7.61,4.86,9.72
Gangsta Granny: The Ride,16.85,16.85,7.29,18.12,7.29,4.86,2.43,2.43,4.86,9.72,0.0,4.86,7.29,7.29,2.43,4.86,7.29,9.72,7.29,2.43,7.29,7.29,9.72,2.43,9.72,9.72,7.29,7.29,7.93,7.22,8.78,8.25,2.43,2.43,7.61,9.72,7.29
Get Set Go Tree Top Adventure,14.42,14.42,4.86,15.69,4.86,4.86,4.86,2.43,4.86,7.29,4.86,0.0,7.29,4.86,7.29,7.29,4.86,7.29,7.29,4.86,4.86,4.86,7.29,7.29,7.29,7.29,4.86,4.86,5.5,4.79,6.35,5.82,7.29,7.29,5.18,7.29,7.29
Go Jetters Vroomster Zoom Ride,14.42,14.42,2.43,15.69,4.86,2.43,4.86,7.29,7.29,4.86,7.29,7.29,0.0,4.86,7.29,7.29,4.86,4.86,4.86,9.72,4.86,4.86,4.86,7.29,4.86,4.86,7.29,7.29,7.93,7.22,8.78,8.25,9.72,9.72,7.61,4.86,9.72
Haunted Hollow,14.42,14.42,4.86,15.69,4.86,2.43,4.86,4.86,4.86,7.29,7.29,4.86,4.86,0.0,7.29,7.29,4.86,7.29,2.43,7.29,4.86,4.86,7.29,7.29,7.29,7.29,4.86,4.86,5.5,4.79,6.35,5.82,9.72,9.72,5.18,7.29,7.29
Heave Ho,16.85,16.85,7.29,18.12,7.29,4.86,2.43,4.86,4.86,9.72,2.43,7.29,7.29,7.29,0.0,4.86,7.29,9.72,7.29,4.86,7.29,7.29,9.72,4.86,9.72,9.72,7.29,7.29,7.93,7.22,8.78,8.25,4.86,4.86,7.61,9.72,7.29
Hex - The Legend of the Towers,16.85,16.85,7.29,18.12,7.29,4.86,2.43,4.86,2.43,9.72,4.86,7.29,7.29,7.29,4.86,0.0,7.29,9.72,7.29,7.29,7.29,7.29,9.72,4.86,9.72,9.72,4.86,4.86,7.93,7.22,8.78,8.25,7.29,7.29,7.61,9.72,4.86
In The Night Garden Magical Boat Ride,14.42,14.42,2.43,15.69,4.86,4.86,4.86,4.86,4.86,4.86,7.29,4.86,4.86,4.86,7.29,7.29,0.0,4.86,7.29,7.29,4.86,4.86,4.86,7.29,4.86,4.86,4.86,4.86,5.5,4.79,6.35,5.82,9.72,9.72,5.18,4.86,7.29
JoJo & Gran Gran At Home,14.42,14.42,2.43,15.69,4.86,4.86,7.29,7.29,7.29,2.43,9.72,7.29,4.86,7.29,9.72,9.72,4.86,0.0,7.29,9.72,4.86,7.29,4.86,9.72,4.86,4.86,7.29,7.29,7.93,7.22,8.78,8.25,12.15,12.15,7.61,4.86,9.72
Justin's House Pie-O-Matic Factory,16.85,16.85,4.86,18.12,7.29,2.43,4.86,7.29,7.29,7.29,7.29,7.29,4.86,2.43,7.29,7.29,7.29,7.29,0.0,9.72,7.29,4.86,7.29,7.29,7.29,7.29,7.29,7.29,7.93,7.22,8.78,8.25,9.72,9.72,7.61,7.29,9.72
Marauder's Mayhem,16.85,16.85,7.29,18.12,7.29,7.29,4.86,2.43,7.29,9.72,2.43,4.86,9.72,7.29,4.86,7.29,7.29,9.72,9.72,0.0,7.29,7.29,9.72,4.86,9.72,9.72,7.29,7.29,7.93,7.22,8.78,8.25,2.43,2.43,7.61,9.72,9.72
Octonauts Rollercoaster Adventure,14.42,14.42,2.43,15.69,4.86,4.86,4.86,4.86,4.86,4.86,7.29,4.86,4.86,4.86,7.29,7.29,4.86,4.86,7.29,7.29,0.0,4.86,4.86,7.29,4.86,2.43,4.86,4.86,5.5,4.79,6.35,5.82,9.72,9.72,5.18,4.86,7.29
Peter Rabbit Hippity Hop,14.42,14.42,4.86,15.69,4.86,2.43,4.86,4.86,4.86,7.29,7.29,4.86,4.86,4.86,7.29,7.29,4.86,7.29,4.86,7.29,4.86,0.0,7.29,7.29,7.29,7.29,4.86,4.86,5.5,4.79,6.35,5.82,9.72,9.72,5.18,7.29,7.29
Raj’s Bouncy Bottom Burp,11.99,11.99,2.43,13.26,4.86,4.86,7.29,7.29,7.29,4.86,9.72,7.29,4.86,7.29,9.72,9.72,4.86,4.86,7.29,9.72,4.86,7.29,0.0,9.72,4.86,4.86,7.29,7.29,7.93,7.15,7.67,8.25,12.15,12.15,7.54,4.86,9.72
Runaway Mine Train,16.85,16.85,7.29,18.12,7.29,4.86,2.43,4.86,4.86,9.72,2.43,7.29,7.29,7.29,4.86,4.86,7.29,9.72,7.29,4.86,7.29,7.29,9.72,0.0,9.72,9.72,7.29,7.29,7.93,7.22,8.78,8.25,4.86,4.86,7.61,9.72,7.29
Sharkbait Reef by SEA LIFE,11.99,11.99,2.43,13.26,4.86,4.86,7.29,7.29,7.29,4.86,9.72,7.29,4.86,7.29,9.72,9.72,4.86,4.86,7.29,9.72,4.86,7.29,4.86,9.72,0.0,4.86,7.29,7.29,7.93,7.15,7.67,8.25,12.15,12.15,7.54,4.86,9.72
The Gardens,14.42,14.42,2.43,15.69,4.86,4.86,7.29,7.29,7.29,4.86,9.72,7.29,4.86,7.29,9.72,9.72,4.86,4.86,7.29,9.72,2.43,7.29,4.86,9.72,4.86,0.0,7.29,7.29,7.93,7.22,8.78,8.25,12.15,12.15,7.61,4.86,9.72
The Royal Carousel,14.42,14.42,4.86,15.69,4.86,4.86,4.86,4.86,2.43,7.29,7.29,4.86,7.29,4.86,7.29,4.86,4.86,7.29,7.29,7.29,4.86,4.86,7.29,7.29,7.29,7.29,0.0,4.86,5.5,4.79,6.35,5.82,9.72,9.72,5.18,7.29,4.86
Galactica,14.42,14.42,4.86,15.69,4.86,4.86,4.86,4.86,2.43,7.29,7.29,4.86,7.29,4.86,7.29,4.86,4.86,7.29,7.29,7.29,4.86,4.86,7.29,7.29,7.29,7.29,4.86,0.0,5.5,4.79,6.35,5.82,9.72,9.72,5.18,7.29,2.43
Nemesis Reborn,15.06,15.06,5.5,16.33,5.5,5.5,5.5,5.5,5.5,7.93,7.93,5.5,7.93,5.5,7.93,7.93,5.5,7.93,7.93,7.93,5.5,5.5,7.93,7.93,7.93,7.93,5.5,5.5,0.0,1.44,3.19,1.56,10.36,10.36,1.23,7.93,7.93
Nemesis Sub-Terra,14.27,14.27,4.79,15.54,4.79,4.79,4.79,4.79,4.79,7.22,7.22,4.79,7.22,4.79,7.22,7.22,4.79,7.22,7.22,7.22,4.79,4.79,7.15,7.22,7.15,7.22,4.79,4.79,1.44,0.0,2.19,1.77,9.65,9.65,0.83,7.22,7.22
Oblivion,14.79,14.79,6.35,16.06,6.35,6.35,6.35,6.35,6.35,8.78,8.78,6.35,8.78,6.35,8.78,8.78,6.35,8.78,8.78,8.78,6.35,6.35,7.67,8.78,7.67,8.78,6.35,6.35,3.19,2.19,0.0,3.52,11.21,11.21,2.58,8.78,8.78
Rita,15.38,15.38,5.82,16.65,5.82,5.82,5.82,5.82,5.82,8.25,8.25,5.82,8.25,5.82,8.25,8.25,5.82,8.25,8.25,8.25,5.82,5.82,8.25,8.25,8.25,8.25,5.82,5.82,1.56,1.77,3.52,0.0,10.68,10.68,1.55,8.25,8.25
Spinball Whizzer,19.28,19.28,9.72,20.55,9.72,7.29,4.86,4.86,7.29,12.15,2.43,7.29,9.72,9.72,4.86,7.29,9.72,12.15,9.72,2.43,9.72,9.72,12.15,4.86,12.15,12.15,9.72,9.72,10.36,9.65,11.21,10.68,0.0,4.86,10.04,12.15,9.72
TH13TEEN,19.28,19.28,9.72,20.55,9.72,7.29,4.86,4.86,7.29,12.15,2.43,7.29,9.72,9.72,4.86,7.29,9.72,12.15,9.72,2.43,9.72,9.72,12.15,4.86,12.15,12.15,9.72,9.72,10.36,9.65,11.21,10.68,4.86,0.0,10.04,12.15,9.72
The Smiler,14.66,14.66,5.18,15.93,5.18,5.18,5.18,5.18,5.18,7.61,7.61,5.18,7.61,5.18,7.61,7.61,5.18,7.61,7.61,7.61,5.18,5.18,7.54,7.61,7.54,7.61,5.18,5.18,1.23,0.83,2.58,1.55,10.04,10.04,0.0,7.61,7.61
Toxicator,14.42,14.42,2.43,15.69,2.43,4.86,7.29,7.29,7.29,4.86,9.72,7.29,4.86,7.29,9.72,9.72,4.86,4.86,7.29,9.72,4.86,7.29,4.86,9.72,4.86,4.86,7.29,7.29,7.93,7.22,8.78,8.25,12.15,12.15,7.61,0.0,9.72
Wicker Man,16.85,16.85,7.29,18.12,7.29,7.29,4.86,7.29,2.43,9.72,7.29,7.29,9.72,7.29,7.29,4.86,7.29,9.72,9.72,9.72,7.29,7.29,9.72,7.29,9.72,9.72,4.86,2.43,7.93,7.22,8.78,8.25,9.72,9.72,7.61,9.72,0.0
